crop_id,summary_en,summary_tl,growing_conditions_en,growing_conditions_tl,soil_notes_en,soil_notes_tl,reference_sources,data_kind,dataset_version,method_note
avocado,A tree fruit with creamy flesh and a long growing cycle.,Puno itong namumunga ng malambot na prutas at mahaba ang panahon ng paglaki.,"Warm weather, sun, and steady moisture support the tree.","Kailangan nito ng mainit na panahon, araw, at tuloy-tuloy na kahalumigmigan.",Use deep soil with good drainage and enough space for roots.,Pumili ng malalim at maayos ang paagusan na lupa para sa mga ugat.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
banana,A perennial fruit crop that produces bunches from a clump.,Pangmatagalang pananim ito na namumunga ng kumpol mula sa isang tuod.,"Warm, humid places with regular water suit banana.",Angkop dito ang mainit at mahalumigmig na lugar na may regular na tubig.,Use fertile soil that drains well but does not dry too quickly.,Gumamit ng matabang lupang may maayos na paagusan pero hindi agad natutuyo.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
basil,A leafy herb used fresh for flavor and cooking.,Dahon itong halamang-gamot na ginagamit na sariwa sa pagluluto.,"Basil likes warm sun, regular light watering, and air movement.","Gusto ng balanoy ang init, banayad na regular na dilig, at maaliwalas na hangin.",Loose soil with compost and good drainage helps the leaves grow.,Makakatulong ang maluwag na lupang may compost at maayos na paagusan.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
bell_pepper,"A mild pepper crop grown for its crisp, hollow fruit.",Banayad ang anghang ng pamintang kampana at malutong ang bunga nito.,"It needs warm weather, sun, and even water during fruiting.","Kailangan nito ng init, araw, at pantay na tubig habang namumunga.",Use fertile loam that drains well and does not stay flooded.,Gumamit ng matabang loam na maayos ang paagusan at hindi binabaha.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
bitter_gourd,A climbing vine with ridged fruit used as a vegetable.,Baging itong may gulugod na bunga na ginagamit na gulay.,Warm sun and a trellis help the vine grow and set fruit.,Nakakatulong ang mainit na araw at balag para lumaki at mamunga ito.,"Use loose, fertile soil that drains well around the roots.",Pumili ng maluwag at matabang lupang maayos ang paagusan sa paligid ng ugat.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
broccoli,A cool-season vegetable that forms a compact flower head.,Gulay itong mas malamig na panahon ang gusto at bumubuo ng kumpol na bulaklak.,Mild temperatures and steady water support a firm head.,Mas gusto nito ang katamtamang lamig at regular na tubig.,Use fertile soil rich in organic matter with good drainage.,Gumamit ng matabang lupang may organikong bagay at maayos na paagusan.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
cabbage,A leafy vegetable that forms a tight head above the soil.,Madahong gulay itong bumubuo ng siksik na ulo sa ibabaw ng lupa.,Cool to mild weather and regular water help the head form.,Nakakatulong ang malamig hanggang banayad na panahon at regular na tubig.,"Use fertile, moisture-holding soil that still drains excess water.",Gumamit ng matabang lupang may kahalumigmigan pero umaagos ang sobrang tubig.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
calamansi,"A small citrus fruit used for juice, seasoning, and drinks.","Maliit itong prutas na citrus para sa katas, sawsawan, at inumin.",Warm sun and steady moisture support flowering and fruiting.,"Nakakatulong ang init, araw, at regular na kahalumigmigan sa pamumulaklak at bunga.","Use slightly acidic, well-drained soil and avoid standing water.",Pumili ng bahagyang maasim na lupang maayos ang paagusan at walang nakatigil na tubig.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
carrot,"A root vegetable valued for its crisp, colored root.",Ugat na gulay ito na pinahahalagahan dahil sa malutong at makulay na ugat.,Cool conditions and even moisture help the root develop.,Mas gusto nito ang malamig na kondisyon at pantay na kahalumigmigan.,"Use deep, stone-free, loose soil so the root can expand.","Gumamit ng malalim, maluwag, at walang bato na lupa para lumaki ang ugat.",TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
cassava,A hardy root crop that stores energy in thick underground roots.,Matibay itong ugat na gulay na nag-iimbak ng pagkain sa malalaking ugat.,"Warm weather and a long, mostly dry growing period suit cassava.",Angkop dito ang init at mahabang panahong hindi palaging basa ang lupa.,Use loose soil with good drainage so roots can enlarge.,Pumili ng maluwag at maayos ang paagusan na lupa para lumaki ang ugat.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
