crop_id,summary_en,summary_tl,growing_conditions_en,growing_conditions_tl,soil_notes_en,soil_notes_tl,data_kind,dataset_version,method_note
avocado,Avocado is grown for food and local markets.,Ang Abokado ay itinatanim para sa pagkain at lokal na pamilihan.,This crop grows best in a warm place with enough sunlight and well-drained soil.,Mas mainam itong itanim sa mainit na lugar na may sapat na sikat ng araw at lupang hindi naiipunan ng tubig.,Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
banana,Banana is grown for food and local markets.,Ang Saging ay itinatanim para sa pagkain at lokal na pamilihan.,This crop grows best in a warm place with enough sunlight and well-drained soil.,Mas mainam itong itanim sa mainit na lugar na may sapat na sikat ng araw at lupang hindi naiipunan ng tubig.,Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
basil,Basil is grown for food and local markets.,Ang Balanoy ay itinatanim para sa pagkain at lokal na pamilihan.,This crop grows best with sunlight and well-drained soil.,Mas mainam itong itanim sa lugar na may sikat ng araw at lupang hindi naiipunan ng tubig.,Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
bell_pepper,Bell pepper is grown for food and local markets.,Ang Pamintang kampana ay itinatanim para sa pagkain at lokal na pamilihan.,"This crop grows best with enough sunlight, regular water, and well-drained soil.","Mas mainam itong itanim sa lugar na may sapat na sikat ng araw, regular na dilig, at lupang hindi naiipunan ng tubig.",Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
bitter_gourd,Bitter gourd is grown for food and local markets.,Ang Ampalaya ay itinatanim para sa pagkain at lokal na pamilihan.,"This crop grows best with enough sunlight, regular water, and well-drained soil.","Mas mainam itong itanim sa lugar na may sapat na sikat ng araw, regular na dilig, at lupang hindi naiipunan ng tubig.",Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
broccoli,Broccoli is grown for food and local markets.,Ang Brokoli ay itinatanim para sa pagkain at lokal na pamilihan.,"This crop grows best with enough sunlight, regular water, and well-drained soil.","Mas mainam itong itanim sa lugar na may sapat na sikat ng araw, regular na dilig, at lupang hindi naiipunan ng tubig.",Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
cabbage,Cabbage is grown for food and local markets.,Ang Repolyo ay itinatanim para sa pagkain at lokal na pamilihan.,"This crop grows best with enough sunlight, regular water, and well-drained soil.","Mas mainam itong itanim sa lugar na may sapat na sikat ng araw, regular na dilig, at lupang hindi naiipunan ng tubig.",Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
calamansi,Calamansi is grown for food and local markets.,Ang Kalamansi ay itinatanim para sa pagkain at lokal na pamilihan.,This crop grows best in a warm place with enough sunlight and well-drained soil.,Mas mainam itong itanim sa mainit na lugar na may sapat na sikat ng araw at lupang hindi naiipunan ng tubig.,Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
carrot,Carrot is grown for food and local markets.,Ang Karot ay itinatanim para sa pagkain at lokal na pamilihan.,"This crop grows best with enough sunlight, regular water, and well-drained soil.","Mas mainam itong itanim sa lugar na may sapat na sikat ng araw, regular na dilig, at lupang hindi naiipunan ng tubig.",Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
cassava,Cassava is grown for food and local markets.,Ang Kamoteng kahoy ay itinatanim para sa pagkain at lokal na pamilihan.,This crop grows best in loose soil that drains well.,Mas mainam itong itanim sa maluwag na lupang madaling magpaagos ng tubig.,Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
cauliflower,Cauliflower is grown for food and local markets.,Ang Koliplor ay itinatanim para sa pagkain at lokal na pamilihan.,"This crop grows best with enough sunlight, regular water, and well-drained soil.","Mas mainam itong itanim sa lugar na may sapat na sikat ng araw, regular na dilig, at lupang hindi naiipunan ng tubig.",Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
chili_pepper,Chili pepper is grown for food and local markets.,Ang Sili ay itinatanim para sa pagkain at lokal na pamilihan.,"This crop grows best with enough sunlight, regular water, and well-drained soil.","Mas mainam itong itanim sa lugar na may sapat na sikat ng araw, regular na dilig, at lupang hindi naiipunan ng tubig.",Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
cucumber,Cucumber is grown for food and local markets.,Ang Pipino ay itinatanim para sa pagkain at lokal na pamilihan.,"This crop grows best with enough sunlight, regular water, and well-drained soil.","Mas mainam itong itanim sa lugar na may sapat na sikat ng araw, regular na dilig, at lupang hindi naiipunan ng tubig.",Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
eggplant,Eggplant is grown for food and local markets.,Ang Talong ay itinatanim para sa pagkain at lokal na pamilihan.,"This crop grows best with enough sunlight, regular water, and well-drained soil.","Mas mainam itong itanim sa lugar na may sapat na sikat ng araw, regular na dilig, at lupang hindi naiipunan ng tubig.",Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
garlic,Garlic is grown for food and local markets.,Ang Bawang ay itinatanim para sa pagkain at lokal na pamilihan.,"This crop grows best with enough sunlight, regular water, and well-drained soil.","Mas mainam itong itanim sa lugar na may sapat na sikat ng araw, regular na dilig, at lupang hindi naiipunan ng tubig.",Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
ginger,Ginger is grown for food and local markets.,Ang Luya ay itinatanim para sa pagkain at lokal na pamilihan.,This crop grows best in warm conditions and well-drained soil.,Mas mainam itong itanim sa mainit na lugar at lupang hindi naiipunan ng tubig.,Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
guava,Guava is grown for food and local markets.,Ang Bayabas ay itinatanim para sa pagkain at lokal na pamilihan.,This crop grows best in a warm place with enough sunlight and well-drained soil.,Mas mainam itong itanim sa mainit na lugar na may sapat na sikat ng araw at lupang hindi naiipunan ng tubig.,Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
lemongrass,Lemongrass is grown for food and local markets.,Ang Tanglad ay itinatanim para sa pagkain at lokal na pamilihan.,This crop grows best with sunlight and well-drained soil.,Mas mainam itong itanim sa lugar na may sikat ng araw at lupang hindi naiipunan ng tubig.,Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
lettuce,Lettuce is grown for food and local markets.,Ang Letsugas ay itinatanim para sa pagkain at lokal na pamilihan.,"This crop grows best with enough sunlight, regular water, and well-drained soil.","Mas mainam itong itanim sa lugar na may sapat na sikat ng araw, regular na dilig, at lupang hindi naiipunan ng tubig.",Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
mango,Mango is grown for food and local markets.,Ang Mangga ay itinatanim para sa pagkain at lokal na pamilihan.,This crop grows best in a warm place with enough sunlight and well-drained soil.,Mas mainam itong itanim sa mainit na lugar na may sapat na sikat ng araw at lupang hindi naiipunan ng tubig.,Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
mung_bean,Mung bean is grown for food and local markets.,Ang Monggo ay itinatanim para sa pagkain at lokal na pamilihan.,This crop grows best in warm conditions and well-drained soil.,Mas mainam itong itanim sa mainit na lugar at lupang hindi naiipunan ng tubig.,Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
okra,Okra is grown for food and local markets.,Ang Okra ay itinatanim para sa pagkain at lokal na pamilihan.,"This crop grows best with enough sunlight, regular water, and well-drained soil.","Mas mainam itong itanim sa lugar na may sapat na sikat ng araw, regular na dilig, at lupang hindi naiipunan ng tubig.",Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
onion,Onion is grown for food and local markets.,Ang Sibuyas ay itinatanim para sa pagkain at lokal na pamilihan.,"This crop grows best with enough sunlight, regular water, and well-drained soil.","Mas mainam itong itanim sa lugar na may sapat na sikat ng araw, regular na dilig, at lupang hindi naiipunan ng tubig.",Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
papaya,Papaya is grown for food and local markets.,Ang Papaya ay itinatanim para sa pagkain at lokal na pamilihan.,This crop grows best in a warm place with enough sunlight and well-drained soil.,Mas mainam itong itanim sa mainit na lugar na may sapat na sikat ng araw at lupang hindi naiipunan ng tubig.,Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
peanut,Peanut is grown for food and local markets.,Ang Mani ay itinatanim para sa pagkain at lokal na pamilihan.,This crop grows best in warm conditions and well-drained soil.,Mas mainam itong itanim sa mainit na lugar at lupang hindi naiipunan ng tubig.,Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
pechay,Pechay is grown for food and local markets.,Ang Pechay ay itinatanim para sa pagkain at lokal na pamilihan.,"This crop grows best with enough sunlight, regular water, and well-drained soil.","Mas mainam itong itanim sa lugar na may sapat na sikat ng araw, regular na dilig, at lupang hindi naiipunan ng tubig.",Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
pineapple,Pineapple is grown for food and local markets.,Ang Pinya ay itinatanim para sa pagkain at lokal na pamilihan.,This crop grows best in a warm place with enough sunlight and well-drained soil.,Mas mainam itong itanim sa mainit na lugar na may sapat na sikat ng araw at lupang hindi naiipunan ng tubig.,Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
purple_yam,Purple yam is grown for food and local markets.,Ang Ube ay itinatanim para sa pagkain at lokal na pamilihan.,This crop grows best in loose soil that drains well.,Mas mainam itong itanim sa maluwag na lupang madaling magpaagos ng tubig.,Soil needs vary by place. Check local soil conditions before planting.,Nag-iiba ang pangangailangan sa lupa bawat lugar. Suriin muna ang lokal na lupa bago magtanim.,synthetic_demo,demo-2026-09-v1,General crop context only. This is not local agronomic advice.
